subject,session,status,frame_start,frame_end,n_segments,n_frames,min_corr
32,0,recovered,111300,112500,4,1200,1.0
32,1,recovered,112500,113700,4,1200,1.0
,,unknown,113700,114000,1,300,
33,0,recovered,114000,115200,4,1200,1.0
33,1,recovered,115200,116400,4,1200,1.0
,,unknown,116400,117600,4,1200,
34,0,recovered,117600,118800,4,1200,1.0
34,1,recovered,118800,120000,4,1200,1.0
34,2,recovered,120000,121200,4,1200,1.0
34,3,recovered,121200,122400,4,1200,1.0
35,0,recovered,122400,123600,4,1200,1.0
35,1,recovered,123600,124800,4,1200,1.0
35,2,recovered,124800,126000,4,1200,1.0
35,3,recovered,126000,127200,4,1200,1.0
36,0,recovered,127200,128400,4,1200,1.0
36,1,recovered,128400,129600,4,1200,1.0
36,2,recovered,129600,130800,4,1200,1.0
36,3,recovered,130800,132000,4,1200,1.0
37,0,recovered,132000,133200,4,1200,1.0
37,1,recovered,133200,134400,4,1200,1.0
,,unknown,134400,136500,7,2100,
38,0,recovered,136500,137700,4,1200,1.0
38,1,recovered,137700,138900,4,1200,1.0
38,2,recovered,138900,139800,3,900,1.0
39,0,recovered,139800,141000,4,1200,1.0
39,1,recovered,141000,142200,4,1200,1.0
39,2,recovered,142200,143400,4,1200,1.0
39,3,recovered,143400,144600,4,1200,1.0
3,0,recovered,144600,145800,4,1200,1.0
3,1,recovered,145800,147000,4,1200,1.0
40,0,recovered,147000,148200,4,1200,1.0
40,1,recovered,148200,149400,4,1200,1.0
40,2,recovered,149400,150600,4,1200,1.0
40,3,recovered,150600,151800,4,1200,1.0
4,0,recovered,151800,153000,4,1200,1.0
4,1,recovered,153000,154200,4,1200,1.0
,,unknown,154200,155100,3,900,
4,3,recovered,155100,156300,4,1200,1.0
5,0,recovered,156300,157500,4,1200,1.0
5,1,recovered,157500,158700,4,1200,1.0
5,2,recovered,158700,159900,4,1200,1.0
5,3,recovered,159900,161100,4,1200,1.0
6,0,recovered,161100,162300,4,1200,1.0
6,1,recovered,162300,163500,4,1200,1.0
7,0,recovered,163500,164700,4,1200,1.0
7,1,recovered,164700,165900,4,1200,1.0
7,2,recovered,165900,167100,4,1200,1.0
,,unknown,167100,168300,4,1200,
8,0,recovered,168300,169500,4,1200,1.0
8,1,recovered,169500,170700,4,1200,1.0
9,0,recovered,170700,171900,4,1200,1.0
9,1,recovered,171900,173100,4,1200,1.0
